,individual_id,generation_index,Distance,Power,Joints,Max parts,Run number
280,133,1,0.299,109.481,14.0,20,0
281,134,1,0.377,99.087,14.0,20,0
282,135,1,0.219,113.843,14.0,20,0
283,136,1,0.369,99.404,14.0,20,0
284,137,1,0.282,109.844,14.0,20,0
285,138,1,0.377,99.087,14.0,20,0
286,139,1,0.306,94.059,14.0,20,0
287,140,1,0.23,102.561,14.0,20,0
288,141,1,0.199,127.386,14.0,20,0
289,142,1,0.164,128.573,3.0,20,0
290,143,1,0.032,129.0,0.0,20,0
291,144,1,0.115,127.546,2.0,20,0
292,145,1,0.07,128.233,5.0,20,0
293,146,1,0.021,129.0,0.0,20,0
294,147,1,0.082,127.543,4.0,20,0
295,148,1,0.044,128.183,4.0,20,0
296,149,1,0.027,128.558,2.0,20,0
297,150,1,0.103,126.471,9.0,20,0
298,151,1,0.134,125.933,7.0,20,0
299,152,1,0.106,124.313,8.0,20,0
300,153,1,0.075,126.945,5.0,20,0
301,154,1,0.018,128.817,2.0,20,0
302,155,1,0.026,128.3,4.0,20,0
303,156,1,0.044,127.483,1.0,20,0
304,157,1,0.142,123.228,14.0,20,0
305,158,1,0.044,126.412,6.0,20,0
306,159,2,1.038,99.206,14.0,20,0
307,159,3,1.038,99.206,14.0,20,0
308,159,4,1.038,99.206,14.0,20,0
309,159,5,1.038,99.206,14.0,20,0
310,159,6,1.038,99.206,14.0,20,0
311,159,7,1.038,99.206,14.0,20,0
312,160,2,0.855,123.527,8.0,20,0
313,160,3,0.855,123.527,8.0,20,0
314,160,4,0.855,123.527,8.0,20,0
315,160,5,0.855,123.527,8.0,20,0
316,160,6,0.855,123.527,8.0,20,0
317,160,7,0.855,123.527,8.0,20,0
318,160,8,0.855,123.527,8.0,20,0
319,160,9,0.855,123.527,8.0,20,0
320,160,10,0.855,123.527,8.0,20,0
321,160,11,0.855,123.527,8.0,20,0
322,160,12,0.855,123.527,8.0,20,0
323,160,13,0.855,123.527,8.0,20,0
324,160,14,0.855,123.527,8.0,20,0
325,160,15,0.855,123.527,8.0,20,0
326,160,16,0.855,123.527,8.0,20,0
327,160,17,0.855,123.527,8.0,20,0
328,160,18,0.855,123.527,8.0,20,0
329,160,19,0.855,123.527,8.0,20,0
330,160,20,0.855,123.527,8.0,20,0
331,160,21,0.855,123.527,8.0,20,0
332,160,22,0.855,123.527,8.0,20,0
333,160,23,0.855,123.527,8.0,20,0
334,160,24,0.855,123.527,8.0,20,0
335,160,25,0.855,123.527,8.0,20,0
336,160,26,0.855,123.527,8.0,20,0
337,160,27,0.855,123.527,8.0,20,0
338,160,28,0.855,123.527,8.0,20,0
339,160,29,0.855,123.527,8.0,20,0
340,160,30,0.855,123.527,8.0,20,0
341,160,31,0.855,123.527,8.0,20,0
342,160,32,0.855,123.527,8.0,20,0
343,160,33,0.855,123.527,8.0,20,0
344,161,2,0.976,105.659,14.0,20,0
345,161,3,0.976,105.659,14.0,20,0
346,161,4,0.976,105.659,14.0,20,0
347,161,5,0.976,105.659,14.0,20,0
348,161,6,0.976,105.659,14.0,20,0
349,161,7,0.976,105.659,14.0,20,0
350,162,2,0.914,114.097,14.0,20,0
351,162,3,0.914,114.097,14.0,20,0
352,162,4,0.914,114.097,14.0,20,0
353,162,5,0.914,114.097,14.0,20,0
354,162,6,0.914,114.097,14.0,20,0
355,163,2,0.204,124.388,7.0,20,0
356,164,2,0.593,123.939,6.0,20,0
357,164,3,0.593,123.939,6.0,20,0
358,164,4,0.593,123.939,6.0,20,0
359,164,5,0.593,123.939,6.0,20,0
360,164,6,0.593,123.939,6.0,20,0
361,164,7,0.593,123.939,6.0,20,0
362,164,8,0.593,123.939,6.0,20,0
363,164,9,0.593,123.939,6.0,20,0
364,164,10,0.593,123.939,6.0,20,0
365,164,11,0.593,123.939,6.0,20,0
366,164,12,0.593,123.939,6.0,20,0
367,164,13,0.593,123.939,6.0,20,0
368,165,2,0.204,124.388,7.0,20,0
369,166,2,0.914,114.097,14.0,20,0
370,166,3,0.914,114.097,14.0,20,0
371,166,4,0.914,114.097,14.0,20,0
372,166,5,0.914,114.097,14.0,20,0
373,166,6,0.914,114.097,14.0,20,0
374,167,2,0.914,114.097,14.0,20,0
375,167,3,0.914,114.097,14.0,20,0
376,167,4,0.914,114.097,14.0,20,0
377,167,5,0.914,114.097,14.0,20,0
378,167,6,0.914,114.097,14.0,20,0
379,168,2,0.914,114.097,14.0,20,0
380,168,3,0.914,114.097,14.0,20,0
381,168,4,0.914,114.097,14.0,20,0
382,168,5,0.914,114.097,14.0,20,0
383,168,6,0.914,114.097,14.0,20,0
384,169,2,0.914,114.097,14.0,20,0
385,169,3,0.914,114.097,14.0,20,0
386,169,4,0.914,114.097,14.0,20,0
387,169,5,0.914,114.097,14.0,20,0
388,169,6,0.914,114.097,14.0,20,0
389,170,2,0.593,123.939,6.0,20,0
390,170,3,0.593,123.939,6.0,20,0
391,170,4,0.593,123.939,6.0,20,0
392,170,5,0.593,123.939,6.0,20,0
393,170,6,0.593,123.939,6.0,20,0
394,170,7,0.593,123.939,6.0,20,0
395,170,8,0.593,123.939,6.0,20,0
396,170,9,0.593,123.939,6.0,20,0
397,170,10,0.593,123.939,6.0,20,0
398,170,11,0.593,123.939,6.0,20,0
399,170,12,0.593,123.939,6.0,20,0
400,170,13,0.593,123.939,6.0,20,0
401,171,2,0.914,114.097,14.0,20,0
402,171,3,0.914,114.097,14.0,20,0
403,171,4,0.914,114.097,14.0,20,0
404,171,5,0.914,114.097,14.0,20,0
405,171,6,0.914,114.097,14.0,20,0
406,172,2,0.928,94.556,14.0,20,0
407,172,3,0.928,94.556,14.0,20,0
408,172,4,0.928,94.556,14.0,20,0
409,173,2,0.928,94.556,14.0,20,0
410,173,3,0.928,94.556,14.0,20,0
411,173,4,0.928,94.556,14.0,20,0
412,174,2,0.431,123.874,6.0,20,0
413,174,3,0.431,123.874,6.0,20,0
414,174,4,0.431,123.874,6.0,20,0
415,174,5,0.431,123.874,6.0,20,0
416,175,2,0.546,118.426,8.0,20,0
417,175,3,0.546,118.426,8.0,20,0
418,175,4,0.546,118.426,8.0,20,0
419,176,2,0.433,120.622,11.0,20,0
420,176,3,0.433,120.622,11.0,20,0
421,176,4,0.433,120.622,11.0,20,0
422,176,5,0.433,120.622,11.0,20,0
423,177,2,0.656,112.087,8.0,20,0
424,178,2,0.633,117.571,14.0,20,0
425,178,3,0.633,117.571,14.0,20,0
426,178,4,0.633,117.571,14.0,20,0
427,178,5,0.633,117.571,14.0,20,0
428,179,2,0.656,112.087,8.0,20,0
429,180,2,0.473,118.561,14.0,20,0
430,180,3,0.473,118.561,14.0,20,0
431,181,2,0.633,117.571,14.0,20,0
432,181,3,0.633,117.571,14.0,20,0
433,181,4,0.633,117.571,14.0,20,0
434,181,5,0.633,117.571,14.0,20,0
435,182,2,0.473,118.561,14.0,20,0
436,182,3,0.473,118.561,14.0,20,0
437,183,2,0.633,117.571,14.0,20,0
438,183,3,0.633,117.571,14.0,20,0
439,183,4,0.633,117.571,14.0,20,0
440,183,5,0.633,117.571,14.0,20,0
441,184,2,0.656,112.087,8.0,20,0
442,185,2,0.427,119.933,14.0,20,0
443,185,3,0.427,119.933,14.0,20,0
444,185,4,0.427,119.933,14.0,20,0
445,186,2,0.482,115.819,14.0,20,0
446,186,3,0.482,115.819,14.0,20,0
447,187,2,0.303,122.502,11.0,20,0
448,187,3,0.303,122.502,11.0,20,0
449,188,2,0.592,110.916,8.0,20,0
450,189,2,0.489,114.113,14.0,20,0
451,189,3,0.489,114.113,14.0,20,0
452,190,2,0.294,122.866,13.0,20,0
453,190,3,0.294,122.866,13.0,20,0
454,191,2,0.571,113.567,14.0,20,0
455,191,3,0.571,113.567,14.0,20,0
456,192,2,0.553,108.68,14.0,20,0
457,193,2,0.474,110.936,14.0,20,0
458,194,2,0.599,102.225,14.0,20,0
459,195,2,0.433,115.047,14.0,20,0
460,195,3,0.433,115.047,14.0,20,0
461,196,2,0.206,121.449,14.0,20,0
462,197,2,0.373,118.568,14.0,20,0
463,197,3,0.373,118.568,14.0,20,0
464,198,2,0.439,114.293,13.0,20,0
465,198,3,0.439,114.293,13.0,20,0
466,199,2,0.226,121.303,14.0,20,0
467,200,2,0.58,97.194,14.0,20,0
468,201,2,0.52,100.157,14.0,20,0
469,202,2,0.201,120.973,14.0,20,0
470,203,2,0.26,119.867,14.0,20,0
471,204,2,0.405,111.73,14.0,20,0
472,205,2,0.397,112.944,14.0,20,0
473,206,2,0.453,110.906,14.0,20,0
474,207,2,0.328,115.583,13.0,20,0
475,208,2,0.537,93.39,14.0,20,0
476,209,2,0.39,108.973,14.0,20,0
477,210,2,0.299,116.683,14.0,20,0
478,211,2,0.44,107.439,14.0,20,0
479,212,2,0.271,117.958,14.0,20,0
480,213,2,0.292,117.925,14.0,20,0
481,214,2,0.456,96.436,10.0,20,0
482,215,3,1.118,98.187,14.0,20,0
483,215,4,1.118,98.187,14.0,20,0
484,216,3,0.399,124.259,7.0,20,0
485,216,4,0.399,124.259,7.0,20,0
486,217,3,0.976,105.659,14.0,20,0
487,217,4,0.976,105.659,14.0,20,0
488,217,5,0.976,105.659,14.0,20,0
489,217,6,0.976,105.659,14.0,20,0
490,217,7,0.976,105.659,14.0,20,0
491,218,3,0.839,123.797,6.0,20,0
492,218,4,0.839,123.797,6.0,20,0
493,218,5,0.839,123.797,6.0,20,0
494,218,6,0.839,123.797,6.0,20,0
495,218,7,0.839,123.797,6.0,20,0
496,218,8,0.839,123.797,6.0,20,0
497,218,9,0.839,123.797,6.0,20,0
498,218,10,0.839,123.797,6.0,20,0
499,218,11,0.839,123.797,6.0,20,0
500,218,12,0.839,123.797,6.0,20,0
501,218,13,0.839,123.797,6.0,20,0
502,218,14,0.839,123.797,6.0,20,0
503,218,15,0.839,123.797,6.0,20,0
504,218,16,0.839,123.797,6.0,20,0
505,218,17,0.839,123.797,6.0,20,0
506,218,18,0.839,123.797,6.0,20,0
507,218,19,0.839,123.797,6.0,20,0
508,218,20,0.839,123.797,6.0,20,0
509,218,21,0.839,123.797,6.0,20,0
510,218,22,0.839,123.797,6.0,20,0
511,218,23,0.839,123.797,6.0,20,0
512,218,24,0.839,123.797,6.0,20,0
513,218,25,0.839,123.797,6.0,20,0
514,218,26,0.839,123.797,6.0,20,0
515,218,27,0.839,123.797,6.0,20,0
516,218,28,0.839,123.797,6.0,20,0
517,218,29,0.839,123.797,6.0,20,0
518,218,30,0.839,123.797,6.0,20,0
519,218,31,0.839,123.797,6.0,20,0
520,218,32,0.839,123.797,6.0,20,0
521,218,33,0.839,123.797,6.0,20,0
522,218,34,0.839,123.797,6.0,20,0
523,218,35,0.839,123.797,6.0,20,0
524,219,3,1.038,99.206,14.0,20,0
525,219,4,1.038,99.206,14.0,20,0
526,219,5,1.038,99.206,14.0,20,0
527,219,6,1.038,99.206,14.0,20,0
528,220,3,0.855,123.527,8.0,20,0
529,220,4,0.855,123.527,8.0,20,0
530,220,5,0.855,123.527,8.0,20,0
531,220,6,0.855,123.527,8.0,20,0
532,220,7,0.855,123.527,8.0,20,0
533,220,8,0.855,123.527,8.0,20,0
534,220,9,0.855,123.527,8.0,20,0
535,220,10,0.855,123.527,8.0,20,0
536,220,11,0.855,123.527,8.0,20,0
537,220,12,0.855,123.527,8.0,20,0
538,220,13,0.855,123.527,8.0,20,0
539,220,14,0.855,123.527,8.0,20,0
540,220,15,0.855,123.527,8.0,20,0
541,220,16,0.855,123.527,8.0,20,0
542,220,17,0.855,123.527,8.0,20,0
543,220,18,0.855,123.527,8.0,20,0
544,220,19,0.855,123.527,8.0,20,0
545,220,20,0.855,123.527,8.0,20,0
546,220,21,0.855,123.527,8.0,20,0
547,220,22,0.855,123.527,8.0,20,0
548,220,23,0.855,123.527,8.0,20,0
549,220,24,0.855,123.527,8.0,20,0
550,220,25,0.855,123.527,8.0,20,0
551,220,26,0.855,123.527,8.0,20,0
552,220,27,0.855,123.527,8.0,20,0
553,220,28,0.855,123.527,8.0,20,0
554,220,29,0.855,123.527,8.0,20,0
555,220,30,0.855,123.527,8.0,20,0
556,220,31,0.855,123.527,8.0,20,0
557,220,32,0.855,123.527,8.0,20,0
558,220,33,0.855,123.527,8.0,20,0
559,221,3,0.855,123.527,8.0,20,0
560,221,4,0.855,123.527,8.0,20,0
561,221,5,0.855,123.527,8.0,20,0
562,221,6,0.855,123.527,8.0,20,0
563,221,7,0.855,123.527,8.0,20,0
564,221,8,0.855,123.527,8.0,20,0
565,221,9,0.855,123.527,8.0,20,0
566,221,10,0.855,123.527,8.0,20,0
567,221,11,0.855,123.527,8.0,20,0
568,221,12,0.855,123.527,8.0,20,0
569,221,13,0.855,123.527,8.0,20,0
570,221,14,0.855,123.527,8.0,20,0
571,221,15,0.855,123.527,8.0,20,0
572,221,16,0.855,123.527,8.0,20,0
573,221,17,0.855,123.527,8.0,20,0
574,221,18,0.855,123.527,8.0,20,0
575,221,19,0.855,123.527,8.0,20,0
576,221,20,0.855,123.527,8.0,20,0
577,221,21,0.855,123.527,8.0,20,0
578,221,22,0.855,123.527,8.0,20,0
579,221,23,0.855,123.527,8.0,20,0
580,221,24,0.855,123.527,8.0,20,0
581,221,25,0.855,123.527,8.0,20,0
582,221,26,0.855,123.527,8.0,20,0
583,221,27,0.855,123.527,8.0,20,0
584,221,28,0.855,123.527,8.0,20,0
585,221,29,0.855,123.527,8.0,20,0
586,221,30,0.855,123.527,8.0,20,0
587,221,31,0.855,123.527,8.0,20,0
588,221,32,0.855,123.527,8.0,20,0
589,221,33,0.855,123.527,8.0,20,0
590,222,3,0.914,114.097,14.0,20,0
591,222,4,0.914,114.097,14.0,20,0
592,222,5,0.914,114.097,14.0,20,0
593,222,6,0.914,114.097,14.0,20,0
594,223,3,0.914,114.097,14.0,20,0
595,223,4,0.914,114.097,14.0,20,0
596,223,5,0.914,114.097,14.0,20,0
597,223,6,0.914,114.097,14.0,20,0
598,224,3,0.593,123.939,6.0,20,0
599,224,4,0.593,123.939,6.0,20,0
600,224,5,0.593,123.939,6.0,20,0
601,224,6,0.593,123.939,6.0,20,0
602,224,7,0.593,123.939,6.0,20,0
603,224,8,0.593,123.939,6.0,20,0
604,224,9,0.593,123.939,6.0,20,0
605,224,10,0.593,123.939,6.0,20,0
606,224,11,0.593,123.939,6.0,20,0
607,224,12,0.593,123.939,6.0,20,0
608,224,13,0.593,123.939,6.0,20,0
609,225,3,0.914,114.097,14.0,20,0
610,225,4,0.914,114.097,14.0,20,0
611,225,5,0.914,114.097,14.0,20,0
612,225,6,0.914,114.097,14.0,20,0
613,226,3,0.914,114.097,14.0,20,0
614,226,4,0.914,114.097,14.0,20,0
615,226,5,0.914,114.097,14.0,20,0
616,226,6,0.914,114.097,14.0,20,0
617,227,3,0.914,114.097,14.0,20,0
618,227,4,0.914,114.097,14.0,20,0
619,227,5,0.914,114.097,14.0,20,0
620,227,6,0.914,114.097,14.0,20,0
621,228,3,0.593,123.939,6.0,20,0
622,228,4,0.593,123.939,6.0,20,0
623,228,5,0.593,123.939,6.0,20,0
624,228,6,0.593,123.939,6.0,20,0
625,228,7,0.593,123.939,6.0,20,0
626,228,8,0.593,123.939,6.0,20,0
627,228,9,0.593,123.939,6.0,20,0
628,228,10,0.593,123.939,6.0,20,0
629,228,11,0.593,123.939,6.0,20,0
630,228,12,0.593,123.939,6.0,20,0
631,228,13,0.593,123.939,6.0,20,0
632,229,3,0.914,114.097,14.0,20,0
633,229,4,0.914,114.097,14.0,20,0
634,229,5,0.914,114.097,14.0,20,0
635,229,6,0.914,114.097,14.0,20,0
636,230,3,0.914,114.097,14.0,20,0
637,230,4,0.914,114.097,14.0,20,0
638,230,5,0.914,114.097,14.0,20,0
639,230,6,0.914,114.097,14.0,20,0
640,231,3,0.914,114.097,14.0,20,0
641,231,4,0.914,114.097,14.0,20,0
642,231,5,0.914,114.097,14.0,20,0
643,231,6,0.914,114.097,14.0,20,0
644,232,3,0.914,114.097,14.0,20,0
645,232,4,0.914,114.097,14.0,20,0
646,232,5,0.914,114.097,14.0,20,0
647,232,6,0.914,114.097,14.0,20,0
648,233,3,0.593,123.939,6.0,20,0
649,233,4,0.593,123.939,6.0,20,0
650,233,5,0.593,123.939,6.0,20,0
651,233,6,0.593,123.939,6.0,20,0
652,233,7,0.593,123.939,6.0,20,0
653,233,8,0.593,123.939,6.0,20,0
654,233,9,0.593,123.939,6.0,20,0
655,233,10,0.593,123.939,6.0,20,0
656,233,11,0.593,123.939,6.0,20,0
657,233,12,0.593,123.939,6.0,20,0
658,233,13,0.593,123.939,6.0,20,0
659,234,3,0.914,114.097,14.0,20,0
660,234,4,0.914,114.097,14.0,20,0
661,234,5,0.914,114.097,14.0,20,0
662,234,6,0.914,114.097,14.0,20,0
663,235,3,0.593,123.939,6.0,20,0
664,235,4,0.593,123.939,6.0,20,0
665,235,5,0.593,123.939,6.0,20,0
